地址,经度,纬度,是否精确,可信度,地址类型,坐标系,错误
徐汇区东安路230弄,121.4480372,31.19490545,1,70,地产小区,wgs84,
徐汇区东安路350弄,121.4504365,31.19182229,1,80,门址,wgs84,
徐汇区东安路180弄,121.454677,31.18508625,1,70,地产小区,wgs84,
徐汇区东安路13弄,121.4510103,31.19127384,,30,道路,wgs84,
徐汇区东安路240弄 ,121.4486463,31.19449629,1,70,地产小区,wgs84,
徐汇区东安路888弄,121.4572235,31.18381339,,50,NoClass,wgs84,
徐汇区东安路271弄,121.4500296,31.19337555,1,75,宾馆,wgs84,
徐汇区东安路230弄,121.4480372,31.19490545,1,70,地产小区,wgs84,
徐汇区东安路350弄,121.4504365,31.19182229,1,80,门址,wgs84,
徐汇区东安路180弄,121.454677,31.18508625,1,70,地产小区,wgs84,
徐汇区东安路13弄,121.4510103,31.19127384,,30,道路,wgs84,
徐汇区东安路240弄 ,121.4486463,31.19449629,1,70,地产小区,wgs84,
徐汇区东安路888弄,121.4572235,31.18381339,,50,NoClass,wgs84,
徐汇区东安路271弄,121.4500296,31.19337555,1,75,宾馆,wgs84,
徐汇区东安路230弄,121.45531,31.19019,GEOMETRIC_CENTER,,,wgs84,
闵行区莘松四村,121.3650867,31.10648674,1,70,地产小区,wgs84,
徐汇区钦州北路885弄,121.4086731,31.18242542,1,75,楼号,wgs84,
虹口区奎照路30弄,121.4785455,31.30249002,1,80,门址,wgs84,
杨浦区海州路105弄,121.5438234,31.27040868,1,80,门址,wgs84,
黄浦区马当路330号,121.4702923,31.21879492,1,80,门址,wgs84,
静安区西藏北路963号,121.4626039,31.26101167,1,80,门址,wgs84,
徐汇区虹桥路666弄,121.4213774,31.19621159,,50,NoClass,wgs84,
杨浦区江湾城路399弄,121.5130971,31.33344065,,30,道路,wgs84,
浦东新区彩云路568弄,121.8023752,30.90119079,1,80,门址,wgs84,
闵行区莘建路60弄,121.371889,31.10783738,,30,道路,wgs84,
宝山区园光路189号,121.3386783,31.30065628,1,80,门址,wgs84,
静安区平陆路311弄,121.4692499,31.26861741,1,70,地产小区,wgs84,
杨浦区政本路115号,121.5108393,31.29385911,1,80,门址,wgs84,
松江区茸康路135号,121.1682529,31.00705767,1,80,门址,wgs84,
宝山区虎林路800弄,121.4491974,31.34633789,1,80,门址,wgs84,
长宁区汇川路88弄,121.4138227,31.21939648,1,80,门址,wgs84,
嘉定区恒飞路733弄,121.1532823,31.36392873,1,70,地产小区,wgs84,
黄浦区淡水路213号,121.468882,31.21934698,1,80,门址,wgs84,
浦东新区西营路62号,121.479077,31.17197193,1,80,门址,wgs84,
徐汇区宛平南路590号,121.4433382,31.19104985,1,80,门址,wgs84,
松江区莘砖公路3118号,121.2928336,31.09528082,,30,道路,wgs84,
杨浦区眉州路938弄,121.5255863,31.27172361,1,80,门址,wgs84,
静安区景凤路205弄,121.4580851,31.32123659,1,70,地产小区,wgs84,
普陀区普陀四村,121.4110197,31.23747908,1,70,地产小区,wgs84,
黄浦区金坛路15号,121.4937629,31.22110873,1,80,门址,wgs84,
虹口区玉田路414弄,121.4829471,31.28164218,1,80,门址,wgs84,
浦东新区上浦路201弄,121.4887779,31.14783972,1,80,门址,wgs84,
虹口区水电路680号,121.4714096,31.28516532,1,80,门址,wgs84,
静安区宝源路225号,121.4756934,31.2585139,1,80,门址,wgs84,
长宁区长宁路476弄,121.4206132,31.22500276,1,80,门址,wgs84,
静安区宝山路519号,121.4734516,31.26031851,1,80,门址,wgs84,
浦东新区团林路38号,121.565711,31.26577771,1,80,门址,wgs84,
闵行区剑川路150弄,121.4596024,31.04565028,1,80,门址,wgs84,
徐汇区襄阳南路237号,121.4531343,31.21293607,1,80,门址,wgs84,
黄浦区九江路600号,121.4737493,31.23687067,1,80,门址,wgs84,
静安区武定路584号,121.4446669,31.23496737,1,80,门址,wgs84,
浦东新区笋兴路10号,121.6388823,31.02524056,1,80,门址,wgs84,
嘉定区仓场路421弄,121.2658713,31.38399681,1,80,门址,wgs84,
闵行区龙港路10弄,121.5226372,31.06878288,,50,NoClass,wgs84,
宝山区泰和路281号,121.4897114,31.37636679,1,80,门址,wgs84,
虹口区池沟路300弄,121.4748859,31.30476525,1,70,地产小区,wgs84,
虹口区保定路299号,121.5056224,31.26024535,1,80,门址,wgs84,
闵行区颛兴路748弄,121.3828662,31.06584794,1,70,教育,wgs84,
徐汇区零陵路655号,121.4404367,31.18882368,1,80,门址,wgs84,
松江区新松江路2218弄,121.2043396,31.04093607,,30,道路,wgs84,
浦东新区芳华路455弄,121.5555045,31.19844071,1,80,门址,wgs84,
浦东新区曹路镇永丰村大徐家宅,121.6921749,31.25729526,,50,村庄,wgs84,
嘉定区柳湖路481弄,121.243196,31.40364501,,50,NoClass,wgs84,
浦东新区唐镇一心村朱家宅,121.6781161,31.24575727,,50,村庄,wgs84,
黄浦区宁波路284弄,121.4773431,31.24072522,1,80,门址,wgs84,
浦东新区康杉路151弄,121.556669,31.15357422,1,80,门址,wgs84,
长宁区茅台路460弄,121.3896394,31.21190804,1,75,楼号,wgs84,
黄浦区建国西路176号,121.4579894,31.20871203,1,80,门址,wgs84,
宝山区菊联路233弄,121.3591276,31.34823849,,50,NoClass,wgs84,
长宁区仙霞路1225弄,121.3702735,31.21000668,1,75,楼号,wgs84,
虹口区梧州路298号,121.4889681,31.25753819,1,80,门址,wgs84,
虹口区东体育会路77号,121.4767744,31.27591916,1,80,门址,wgs84,
嘉定区北陈路320号,121.319586,31.33553551,1,80,门址,wgs84,
普陀区武威路1236弄,121.3416685,31.28390731,,50,NoClass,wgs84,
长宁区长宁路1277弄,121.4080837,31.21876264,1,75,楼号,wgs84,
黄浦区重庆北路132号,121.4658556,31.2277997,1,80,门址,wgs84,
浦东新区华夏二路1500弄,121.6863583,31.1739703,1,80,门址,wgs84,
宝山区潘泾路4777弄,121.344252,31.4658936,1,80,门址,wgs84,
浦东新区严杨路166弄,121.5253746,31.19649595,1,70,地产小区,wgs84,
徐汇区桂林西街111弄,121.4146373,31.15269702,1,80,门址,wgs84,
闵行区双柏路955号,121.4350766,31.09089875,1,80,门址,wgs84,
静安区江宁路373号,121.4481041,31.23560575,1,80,门址,wgs84,
黄浦区斜土东路255号,121.4824388,31.20968007,1,80,门址,wgs84,
静安区公兴路88号,121.4702512,31.25556008,1,80,门址,wgs84,
黄浦区长乐路83弄,121.4636952,31.22383268,1,80,门址,wgs84,
静安区新闸路1068弄,121.4517127,31.23538128,1,70,地产小区,wgs84,
杨浦区平凉路1365弄,121.5326111,31.26575965,1,80,门址,wgs84,
徐汇区东安路230弄,121.4480372,31.19490545,1,70,地产小区,wgs84,
静安区彭浦新村391号,121.4406201,31.3148204,,25,乡镇,wgs84,
嘉定区于塘南路380弄,121.2615543,31.3764608,,20,区县,wgs84,
黄浦区东江阴街118号,121.4940579,31.21575921,1,80,门址,wgs84,
闵行区莘东路298弄,121.3717885,31.11168775,1,75,购物,wgs84,
宝山区上大路218号,121.3974838,31.31369912,1,80,门址,wgs84,
黄浦区延安东路353弄,121.4750364,31.23115208,,30,道路,wgs84,
宝山区石太路86弄,121.3957606,31.45608775,1,70,地产小区,wgs84,
徐汇区乐山支路4弄,121.4323841,31.19008224,,20,区县,wgs84,
宝山区宝林八村,121.4897676,31.40805707,,50,NoClass,wgs84,
闵行区银都路2188弄,121.4113626,31.10160257,,50,NoClass,wgs84,
浦东新区浦三路930弄,121.5118875,31.19024281,1,70,地产小区,wgs84,
杨浦区平凉路1759号,121.5383837,31.27060222,1,80,门址,wgs84,
宝山区蕰川路6号,121.4290985,31.34549987,1,80,门址,wgs84,
宝山区三桥村,121.3670355,31.46338498,,50,村庄,wgs84,
宝山区松兰路233弄,121.4444047,31.37138805,1,70,地产小区,wgs84,
普陀区石湾路7弄,121.3923476,31.25102608,,20,区县,wgs84,
浦东新区海霞路135弄,121.7312527,31.16978563,1,75,宾馆,wgs84,
黄浦区江阴路78号,121.4645281,31.23178232,1,80,门址,wgs84,
浦东新区大同路688弄,121.5716827,31.34160517,,50,NoClass,wgs84,
闵行区申北路135弄,121.3797221,31.09285336,1,75,楼号,wgs84,
宝山区菊泉街400弄,121.3684345,31.36066786,,30,道路,wgs84,
嘉定区丰江路128弄,121.3414398,31.25543089,1,70,地产小区,wgs84,
浦东新区龙居路30弄,121.5551958,31.25611844,1,70,地产小区,wgs84,
浦东新区妙川路800号,121.698626,31.17869691,1,80,门址,wgs84,
长宁区长宁路1661弄,121.4023925,31.21882922,1,80,门址,wgs84,
浦东新区浦东大道1851弄,121.5417747,31.24896441,1,80,门址,wgs84,
徐汇区桂林路575号,121.4105077,31.18066487,1,80,门址,wgs84,
徐汇区襄阳南路173弄,121.4528643,31.2154053,1,70,休闲娱乐,wgs84,
闵行区庙泾路56号,121.3744161,31.11760184,1,80,门址,wgs84,
浦东新区拱川路411弄,121.7387177,31.06637508,1,70,地产小区,wgs84,
黄浦区河南中路154号,121.4817534,31.23550628,1,80,门址,wgs84,
浦东新区大团镇董村村,121.7762413,30.95195657,,50,村庄,wgs84,
虹口区广中支路140号,121.4719479,31.27673684,1,80,门址,wgs84,
长宁区淮海西路358弄,121.4211656,31.20150167,1,80,门址,wgs84,
闵行区爱博二村,121.3021083,31.20728253,1,70,地产小区,wgs84,
黄浦区先棉祠北弄35号,121.4867951,31.21977819,1,80,门址,wgs84,
浦东新区联丰村南沈队沈家墙,121.5072349,31.15699901,,50,村庄,wgs84,
静安区北京西路1112号,121.4492165,31.23181855,1,80,门址,wgs84,
闵行区上中西路738弄,121.4128143,31.13343823,1,80,门址,wgs84,
长宁区茅台路455弄,121.3890166,31.21161045,1,80,门址,wgs84,
黄浦区黄河路229号,121.4650662,31.23857659,1,80,门址,wgs84,
虹口区四平路577号,121.4910209,31.27202474,1,80,门址,wgs84,
闵行区永平南路203弄,121.4287523,31.01365814,,50,NoClass,wgs84,
嘉定区曹安公路1926号,121.3578637,31.25699227,1,80,门址,wgs84,
长宁区遵义路402弄,121.4052038,31.21436544,1,70,地产小区,wgs84,
杨浦区许昌路1200号,121.5127684,31.26861295,1,80,门址,wgs84,
虹口区曲阳路510号,121.4865319,31.27973645,1,80,门址,wgs84,
浦东新区崂山路562号,121.5136296,31.23969661,1,80,门址,wgs84,
浦东新区川沙新镇牌楼村北祝家宅,121.6936161,31.1558627,,50,村庄,wgs84,
虹口区池沟路16号,121.4744785,31.30291712,1,80,门址,wgs84,
浦东新区昌里东路80弄,121.501774,31.1767889,1,80,门址,wgs84,
闵行区姚虹路299弄,121.4041502,31.19290889,1,80,门址,wgs84,
浦东新区泥城镇高桥村,121.8156723,30.91836305,,50,村庄,wgs84,
宝山区宝钢四村,121.4811611,31.4103631,,50,NoClass,wgs84,
徐汇区宛平南路255弄,121.4433348,31.19549672,1,80,门址,wgs84,
虹口区昆山路136弄,121.4836109,31.25207907,1,80,门址,wgs84,
静安区胶州路175弄,121.4392067,31.22898333,1,80,门址,wgs84,
宝山区虎林路504号,121.4522338,31.34053884,1,80,门址,wgs84,
浦东新区长清路2060号,121.4926254,31.14186527,1,80,门址,wgs84,
黄浦区永安路2号,121.4870108,31.23320761,1,80,门址,wgs84,
杨浦区控江路103号,121.5432079,31.29053012,1,80,门址,wgs84,
虹口区同心路359弄,121.4676157,31.2719788,,30,道路,wgs84,
浦东新区浦东大道691弄,121.5580382,31.26149658,,30,道路,wgs84,
浦东新区康泽路550弄,121.539716,31.22324453,,20,区县,wgs84,
青浦区利通路贺桥村路,121.0956219,31.16420778,,30,道路,wgs84,
静安区铜仁路90弄,121.4466645,31.22618878,1,70,地产小区,wgs84,
徐汇区柳州路585弄,121.4165082,31.17863506,,50,NoClass,wgs84,
浦东新区德州路300弄,121.4864935,31.16829454,1,70,地产小区,wgs84,
黄浦区西藏南路1371弄,121.4837687,31.20778717,1,70,地产小区,wgs84,
虹口区乍浦路321号,121.4823212,31.25184763,1,80,门址,wgs84,
静安区西藏北路1115号,121.4618095,31.26367107,1,80,门址,wgs84,
虹口区欧阳路677弄,121.4820444,31.27696554,1,70,地产小区,wgs84,
黄浦区黄河路132弄,121.4659879,31.23717408,1,80,门址,wgs84,
青浦区沪青平公路1818号,121.2772433,31.17190191,1,80,门址,wgs84,
黄浦区丽园路660号,121.4754949,31.20902959,1,80,门址,wgs84,
静安区芷江西路130号,121.4608105,31.25913034,1,80,门址,wgs84,
浦东新区长清路2326号,121.4955995,31.13774115,1,80,门址,wgs84,
静安区临汾路1051弄,121.4418744,31.31077713,1,80,门址,wgs84,
杨浦区政悦路500弄,121.5193637,31.33534882,,50,NoClass,wgs84,
松江区谷阳北路2388弄,121.2318083,31.05134827,,50,NoClass,wgs84,
黄浦区瑞金一路245号,121.4593874,31.22103465,1,80,门址,wgs84,
虹口区车站北路625弄,121.4648564,31.29882534,,50,NoClass,wgs84,
长宁区新渔路142号,121.3628703,31.21764649,1,80,门址,wgs84,
杨浦区政立路497号,121.5009474,31.31049986,1,80,门址,wgs84,
静安区西藏北路884号,121.4630642,31.26086093,1,80,门址,wgs84,
黄浦区北京东路462号,121.4767354,31.24190234,1,80,门址,wgs84,
浦东新区唐镇路127弄,121.6458512,31.20951343,1,70,医疗,wgs84,
浦东新区严桥路141弄,121.5249413,31.19254858,1,80,门址,wgs84,
虹口区沽源路128弄,121.4728879,31.30520265,1,75,楼号,wgs84,
宝山区富联路224号,121.4078851,31.35613723,1,80,门址,wgs84,
徐汇区天等路430弄,121.4239374,31.13991817,1,80,门址,wgs84,
浦东新区申江南路1999号生活区,121.631719,31.12891229,1,80,门址,wgs84,
黄浦区吉安路288号,121.4768414,31.21954861,1,80,门址,wgs84,
浦东新区祝桥镇红二村,121.7774349,31.09149164,,50,村庄,wgs84,
宝山区铁峰路477号,121.4652994,31.37288989,1,80,门址,wgs84,
虹口区凉城路480弄,121.465856,31.29209617,1,80,门址,wgs84,
浦东新区杨新路95号,121.4889865,31.16565318,1,80,门址,wgs84,
宝山区泰兴桥210号,121.4772578,31.36888108,1,80,门址,wgs84,
虹口区祥德路140号,121.4819794,31.27352102,1,80,门址,wgs84,
徐汇区桂平路70弄,121.4008301,31.16435031,,30,道路,wgs84,
宝山区祥德路134号,121.4855177,31.40652468,,20,区县,wgs84,
静安区长宁路165号,121.423652,31.22804642,1,80,门址,wgs84,
浦东新区浦建路47号,121.5149588,31.21243136,1,80,门址,wgs84,
闵行区通海路278号,121.4714601,31.03998712,1,80,门址,wgs84,
徐汇区中山南二路945弄,121.4444625,31.18461521,1,75,楼号,wgs84,
黄浦区淮海中路595号,121.4631177,31.22222575,1,80,门址,wgs84,
虹口区西江湾路718号,121.4760587,31.27843885,1,80,门址,wgs84,
静安区万荣路1199弄,121.4371895,31.29442726,1,70,地产小区,wgs84,
宝山区长虹路779弄,121.3219318,31.47806959,,50,NoClass,wgs84,
浦东新区高行镇朱家浜村瞿家弄,121.5673842,31.30221043,,50,村庄,wgs84,
闵行区恒星村,121.4836477,31.12460573,,50,村庄,wgs84,
浦东新区万安街333弄,121.6097064,31.29856347,,50,NoClass,wgs84,
嘉定区大北街320弄,121.2092689,31.43205525,,30,道路,wgs84,
浦东新区崂山一村,121.5134729,31.24194008,,50,NoClass,wgs84,
宝山区杨泰路338弄,121.4352772,31.37327312,1,70,地产小区,wgs84,
浦东新区五莲路1769弄,121.5930777,31.28640855,1,80,门址,wgs84,
黄浦区长乐路306号,121.4594514,31.22336663,1,80,门址,wgs84,
松江区盛龙路215号,121.3067116,31.10235302,1,80,门址,wgs84,
虹口区祥德路381号,121.4869479,31.27288756,1,80,门址,wgs84,
虹口区沙泾路166号,121.487934,31.25857382,1,80,门址,wgs84,
徐汇区田林一村,121.4140395,31.17150135,1,70,地产小区,wgs84,
浦东新区浦东南路4200弄,121.4963564,31.18534028,1,80,门址,wgs84,
闵行区紫藤二村,121.4065518,31.13241414,1,70,地产小区,wgs84,
嘉定区双坪路200弄,121.2658521,31.40627617,1,80,门址,wgs84,
黄浦区局门路599弄,121.478609,31.20261328,,50,NoClass,wgs84,
虹口区凉城路1318弄,121.4666131,31.29675236,,30,道路,wgs84,
静安区武定西路1398弄,121.4252712,31.2273898,1,80,门址,wgs84,
黄浦区绍兴路19号,121.4592588,31.21103762,1,80,门址,wgs84,
宝山区合众村,121.3228059,31.48931209,,50,村庄,wgs84,
黄浦区丽园路514弄,121.4772358,31.20950343,1,80,门址,wgs84,
闵行区莘朱路779号,121.3923994,31.1142168,1,80,门址,wgs84,
普陀区真南路822弄,121.3795795,31.27660999,1,80,门址,wgs84,
黄浦区泗泾路24号,121.48236,31.23551311,1,80,门址,wgs84,
黄浦区鲁班路529号,121.4723416,31.20169547,1,80,门址,wgs84,
松江区沪松公路2871号,121.2706336,31.10904495,1,80,门址,wgs84,
宝山区富锦路1659弄,121.4349278,31.40631872,,50,NoClass,wgs84,
虹口区天宝路59弄,121.4917519,31.26313177,1,80,门址,wgs84,
宝山区南陈路279弄,121.3939816,31.31066278,,50,NoClass,wgs84,
黄浦区鲁班路598弄,121.4716352,31.20024399,1,70,地产小区,wgs84,
静安区永和路592号,121.4311182,31.28888864,1,80,门址,wgs84,
浦东新区建中路171弄,121.6103578,31.20537981,1,75,楼号,wgs84,
虹口区凉城路845弄,121.4652927,31.30078708,1,80,门址,wgs84,
静安区永兴路932号,121.4551551,31.25319535,1,80,门址,wgs84,
虹口区文迁路38弄,121.4750512,31.3040423,1,80,门址,wgs84,
黄浦区北京东路471号,121.4767778,31.24157607,1,80,门址,wgs84,
宝山区泰兴桥220号,121.4783435,31.36958208,1,80,门址,wgs84,
徐汇区石龙支路27号,121.4355721,31.15908855,1,80,门址,wgs84,
黄浦区老道前街11号,121.4826889,31.22030995,1,80,门址,wgs84,
黄浦区柳江街19号,121.4855724,31.22110078,1,80,门址,wgs84,
普陀区桃浦路1883号,121.3615868,31.2652093,1,80,门址,wgs84,
黄浦区大沽路177号,121.4663752,31.22801808,1,80,门址,wgs84,
黄浦区西藏南路1566弄,121.4841891,31.20410835,1,70,地产小区,wgs84,
黄浦区广东路567号,121.476234,31.23376327,1,80,门址,wgs84,
长宁区水城路45弄,121.3852871,31.2037167,1,80,门址,wgs84,
黄浦区寿宁路10弄,121.4779687,31.22617178,1,75,楼号,wgs84,
宝山区新二路183弄,121.4706817,31.3277039,1,70,地产小区,wgs84,
长宁区新华路211弄,121.42306,31.20341943,1,80,门址,wgs84,
浦东新区夏栎路233弄,121.9114698,30.91244963,1,80,门址,wgs84,
黄浦区陆家浜路1300号,121.4795137,31.2133883,1,80,门址,wgs84,
闵行区七莘路2455弄,121.3491242,31.14950522,1,70,地产小区,wgs84,
虹口区峨嵋路299弄,121.4862141,31.25172778,1,80,门址,wgs84,
宝山区淞发路500弄,121.4867746,31.34483074,1,75,楼号,wgs84,
黄浦区中华路999号,121.4860858,31.21682563,1,80,门址,wgs84,
静安区南阳路183弄,121.446128,31.22963496,1,80,门址,wgs84,
黄浦区蒙自路379号,121.4747898,31.20506249,1,80,门址,wgs84,
杨浦区内江路222弄,121.5433946,31.28164008,1,80,门址,wgs84,
徐汇区肇嘉浜路661号,121.4485206,31.20174598,1,80,门址,wgs84,
青浦区华纺路283弄,121.1224726,31.16509945,,30,道路,wgs84,
虹口区余杭路99号,121.4864639,31.2531629,1,80,门址,wgs84,
浦东新区曹路镇日新村杨薛家宅,121.6642462,31.2612758,,50,村庄,wgs84,
